id,name,calories,carbs,fat,protein,ingredients,instructions,link
1,20-Minute Chicken Cutlets & Zucchini Noodles with Creamy Tomato Sauce,331,8,17,29,"1 pound chicken cutlets. ¼ teaspoon salt, divided. ¼ teaspoon ground pepper, divided. 1 tablespoon extra-virgin olive oil. ½ cup finely chopped red onion. ½ cup dry white wine. ½ cup heavy cream. 1 medium plum tomato, chopped. 2 (10 ounce) packages zucchini noodles","Sprinkle chicken with salt, pepper. Heat oil in skillet. Cook chicken until browned, 6 min. Transfer. Cook onion. Add wine, reduce. Stir in cream, chicken juices, salt, pepper; simmer. Stir in tomatoes, return chicken. Divide between 4 plates. Cook zucchini noodles. Serve with chicken.",https://www.eatingwell.com/recipe/278298/20-minute-chicken-cutlets-zucchini-noodles-with-creamy-tomato-sauce/
2,Shepherd's Pie with Cauliflower Topping,356,18,23,20,"1 pound lean ground beef. 2 cups chopped onion. 2 tablespoons minced garlic. 1 (15 ounce) can no-salt-added diced tomatoes, drained. 1 tablespoon reduced-sodium Worcestershire sauce. 1 ½ teaspoons chopped fresh rosemary. 3 tablespoons chopped fresh flat-leaf parsley, divided. 1 ½ teaspoons ground pepper, divided. ¾ teaspoon salt, divided. ¼ cup unsalted beef broth. 1 tablespoon all-purpose flour or gluten-free all-purpose flour. 8 cups cauliflower florets (from 1 large head cauliflower). 2 cups water. 6 tablespoons unsalted butter. ¼ cup heavy cream","Preheat oven to 375°F. Heat skillet. Cook beef, onion, garlic until browned, 8-10 min. Stir in tomatoes, Worcestershire, herbs, seasoning. Whisk broth, flour; stir in. Cook until thickened, 15 min. Boil cauliflower until tender, 10 min. Mash with butter, cream, salt. Spoon over beef. Sprinkle with pepper. Bake until browned, 22-25 min. Sprinkle with parsley before serving.",https://www.eatingwell.com/recipe/278004/shepherds-pie-with-cauliflower-topping/
3,Shrimp Cauliflower Fried Rice,309,10,17,30,"¼ cup sesame oil, divided. 2 large eggs, lightly beaten. 3 cups riced cauliflower (see Tip). 1 pound large shrimp (31-35 count), peeled and deveined. 3 cups broccoli florets. 1 medium red bell pepper, thinly sliced (about 1 cup). 3 cloves garlic, sliced. 3 tablespoons reduced-sodium soy sauce or tamari. 2 tablespoons water. 1 tablespoon rice vinegar. ½ teaspoon ground pepper","Heat oil in wok. Cook eggs, cut. Cook cauliflower until browned. Cook shrimp until opaque. Cook broccoli, bell pepper, garlic until charred. Stir in soy sauce, water, vinegar, pepper. Add eggs, cauliflower, shrimp.",https://www.eatingwell.com/recipe/276818/shrimp-cauliflower-fried-rice/
4,"Spicy Noodles with Pork, Scallions & Bok Choy",311,39,9,20,"7 ounces thin rice noodles or rice sticks. 2 tablespoons canola oil, divided. 1 head bok choy (about 1 pound), chopped, greens and whites separated. 3  scallions, sliced, greens and whites separated. 2 tablespoons minced fresh ginger. ¼ cup chili-bean sauce (see Tip) or chile-garlic sauce. 1 pound ground pork. 2 cups unsalted chicken broth. 3 tablespoons reduced-sodium tamari or soy sauce. 1 teaspoon white sugar. 1 tablespoon cornstarch. 1 tablespoon water. Crushed red pepper for garnish","Cook noodles, drain, rinse. Heat oil in wok. Cook bok choy whites, then greens. Transfer to bowl. Cook scallion whites, ginger, chili-bean sauce in pan. Add pork, cook until no longer pink. Add broth, tamari, sugar. Mix cornstarch, water; add to pan. Bring to boil, cook until thickened. Stir in noodles, bok choy, heat through. Serve topped with scallion greens, crushed red pepper.",https://www.eatingwell.com/recipe/276348/spicy-noodles-with-pork-scallions-bok-choy/
5,Chicken Cutlets with Creamy Spinach & Roasted Red Pepper Sauce,305,10,14,28,"1 pound chicken cutlets. ¼ teaspoon salt, divided. ¼ teaspoon ground pepper, divided. 1 tablespoon extra-virgin olive oil. 1 cup chopped baby spinach. ½ cup finely chopped red onion. ⅓ cup roasted red peppers, thinly sliced. ⅓ cup sun-dried tomato halves, thinly sliced. ½ cup dry white wine. ¾ cup sour cream","Sprinkle chicken with salt, pepper. Heat oil in skillet. Cook chicken until cooked through, 6 to 8 min. Transfer. Add spinach, onion, roasted red peppers, sun-dried tomatoes to pan. Cook for 1 min. Add wine, reduce. Stir in sour cream, chicken juices, salt, pepper; simmer for 2 min. Return chicken to pan, coat. Serve topped with sauce.",https://www.eatingwell.com/recipe/278307/chicken-cutlets-with-creamy-spinach-roasted-red-pepper-sauce/
6,Instant-Pot Sausage & Peppers,374,39,13,25,"1 tablespoon extra-virgin olive oil. 1 (12 ounce) package hot or mild Italian chicken sausage. 1 large white onion, sliced. 1 medium yellow bell pepper, sliced. 1 medium green bell pepper, sliced. 1 large garlic clove, minced. ½ teaspoon dried oregano. ¼ teaspoon crushed red pepper. 1 tablespoon no-salt-added tomato paste. ½ (15 ounce) can no-salt-added crushed tomatoes. 4  Italian sandwich rolls, split and lightly toasted. ¼ cup torn fresh basil","Select Sauté setting on pressure multicooker, Medium temp, 1-2 min. Add oil, sausage, brown both sides, 4-5 min each. Remove sausage, set aside. Add onion, yellow pepper, green pepper, cook until softened and browned, 5 min. Add garlic, oregano, crushed red pepper, cook until fragrant, 2 min. Add tomato paste, cook for 1 min. Stir in crushed tomatoes, return sausage to cooker, press Cancel. Cover, lock lid, Manual/Pressure Cook setting, High pressure, 5 min. Release steam, venting position, 1-2 min. Remove lid, divide sausage, onions, peppers among rolls. Top with basil, serve immediately.",https://www.eatingwell.com/recipe/280476/instant-pot-sausage-peppers/
7,Quinoa-Stuffed Peppers,350,44,13,16,"6 medium red, orange and/or yellow bell peppers. 1 tablespoon extra-virgin olive oil. 1 large yellow onion, chopped (about 2 cups). 1 tablespoon minced garlic. 1 teaspoon ground cumin. ¾ teaspoon chili powder. 2 teaspoons minced chipotle chiles plus 1 Tbsp. adobo sauce from can. 2 cups cooked tri-color quinoa. 1 (15 ounce) can no-salt-added black beans, rinsed. 1 (14.5 ounce) can no-salt-added diced tomatoes. 1 cup frozen corn. ¼ teaspoon salt. 1 ½ cups shredded pepper Jack cheese","Preheat oven to 375°F. Cut off bell pepper stems, chop tops (1 cup). Steam peppers until soft, 3 min. Cook onion, chopped pepper tops until soft, 5 min. Stir in garlic, spices, cook, 1 min. Remove from heat, add quinoa, beans, tomatoes, corn, salt; mix. Stand peppers upright in dish, fill with mixture. Cover, bake until warm, 10 min. Sprinkle with cheese, bake until melted, 5-8 min. Rest 5 min before serving.",https://www.eatingwell.com/recipe/280737/vegetarian-quinoa-stuffed-peppers/
8,Easy Shrimp Tacos,398,34,16,29,"2 cups diced tomatoes. 1 teaspoon lime zest (reserve before juicing limes). 5 tablespoons lime juice, divided. ¼ cup chopped fresh cilantro. ¼ cup diced red onion. 2 tablespoons minced jalapeño pepper. ⅛ teaspoon salt. 2 tablespoons tahini. ½ teaspoon honey. 1 clove garlic, minced. 2 tablespoons olive oil. 1 tablespoon ground cumin. 2 teaspoons ground coriander. ¼ teaspoon ground pepper. 1 pound large raw shrimp (21-25 count; see Tip), peeled and deveined. 8 (6 inch) flour tortillas, warmed. 1 cup thinly sliced radishes","Preheat broiler. Combine tomatoes, lime juice, cilantro, onion, jalapeño, salt in bowl; toss. Whisk lime zest, lime juice, tahini, honey, garlic in bowl. Combine oil, cumin, coriander, pepper in large bowl. Add shrimp, coat. Spread on baking sheet. Broil until pink, 4-6 min. To assemble: Place shrimp on tortilla. Top with salsa, tahini sauce, radishes.",https://www.eatingwell.com/recipe/280197/easy-shrimp-tacos/
9,Egg Roll-Inspired Cabbage Rolls,231,28,5,20,"1 ¼ cups water. 3 tablespoons tomato paste. 2 tablespoons rice vinegar. 2 tablespoons reduced-sodium soy sauce. 4 tablespoons hoisin sauce, divided. 2 tablespoons minced fresh ginger, divided. 4 cloves garlic, minced, divided. ½ teaspoon crushed red pepper. 2 tablespoons cornstarch. 12 large leaves savoy cabbage. 2 cups finely chopped broccoli. 1 pound lean ground pork. 1 ½ cups cooked brown rice. 1  bunch scallions, sliced. 1 teaspoon toasted sesame oil","Preheat oven to 400°F. Coat baking dish. Whisk water, tomato paste, vinegar, soy sauce, hoisin, ginger, garlic, crushed red pepper in saucepan. Simmer, thicken with cornstarch. Boil cabbage leaves until soft, transfer to baking sheet. Pour hot water over broccoli, refresh with cold water, transfer to bowl. Add pork, rice, scallions, sesame oil, remaining hoisin, ginger, garlic, 3 tbsp reserved sauce. Stir. Fill cabbage leaves with mixture, roll up, place seam-side down in dish. Pour remaining sauce over rolls. Cover with foil, bake until 150°F, about 40 min.",https://www.eatingwell.com/recipe/280387/egg-roll-inspired-cabbage-rolls/
10,Chicken & Zucchini Casserole,307,11,14,34,"3 tablespoons butter, divided. 2 pounds boneless, skinless chicken breast, cut into 1-inch pieces. 2 large zucchini, cut into 1/2-inch pieces. 1 large red bell pepper, chopped. ⅓ cup all-purpose flour. 1 cup no-salt-added chicken broth. 1 cup whole milk. 3 ounces reduced-fat cream cheese. 1 ¼ cups shredded part-skim mozzarella cheese, divided. ¾ teaspoon ground pepper. ½ teaspoon salt","Preheat oven to 400°F. Melt 1 tbsp butter in skillet. Cook chicken until browned, 8 min. Transfer to bowl. Cook zucchini, bell pepper until soft, 4 min. Transfer to bowl with chicken. Melt remaining 2 tbsp butter in pan. Stir in flour, cook until browned, 1 min. Add broth, milk, bring to boil. Remove from heat, add cream cheese, 3/4 cup mozzarella; stir until melted. Stir in pepper, salt. Drain chicken, vegetables; stir into sauce. Transfer to baking dish, sprinkle with remaining 1/2 cup cheese. Bake until browned, bubbly, 20-25 min. Let stand 10 min before serving.",https://www.eatingwell.com/recipe/280036/chicken-zucchini-casserole/
